week,team,opponent,home_away,goals,goals_conceded,xg,xg_conceded,home,away,home_goals,away_goals,home_xg,away_xg,score,result,points,adj_goals,xg_result,xg_points,xg_diff,cumulative_points,cumulative_xg_points,cumulative_xg_diff,points_vs_xg_points,cumulative_xg_goals,cumulative_xg_conceded,xg_goal_diff,position,xg_score,result_changed
1,Arsenal,Wolves,Home,2,0,1.2,0.5,Arsenal,Wolves,2,0,1.2,0.5,      2-0,Win,3,2,Win,3,0.8,3,3,0.8,0,1.2,0.5,0.7,2,      2-0,0
2,Arsenal,Aston Villa,Away,2,0,0.9,1.2,Aston Villa,Arsenal,0,2,1.2,0.9,      0-2,Win,3,2,Win,3,1.1,6,6,1.9000000000000001,0,2.1,1.7,0.40000000000000013,3,      0-2,0
3,Arsenal,Brighton,Home,1,1,2.1,1.7,Arsenal,Brighton,1,1,2.1,1.7,      1-1,Draw,1,2,Win,3,-1.1,7,9,0.8,-2,4.2,3.4,0.8000000000000003,4,      2-1,1
4,Arsenal,Tottenham,Away,1,0,0.7,0.7,Tottenham,Arsenal,0,1,0.7,0.7,      0-1,Win,3,1,Win,3,0.30000000000000004,10,12,1.1,-2,4.9,4.1,0.8000000000000007,2,      0-1,0
5,Arsenal,Manchester City,Away,2,2,0.7,2.1,Manchester City,Arsenal,2,2,2.1,0.7,      2-2,Draw,1,2,Draw,1,1.3,11,13,2.4000000000000004,-2,5.6,6.2,-0.6,4,      2-2,0
6,Arsenal,Leicester City,Home,4,2,4.4,0.3,Arsenal,Leicester City,4,2,4.4,0.3,      4-2,Win,3,4,Win,3,-0.4,14,16,1.9999999999999998,-2,10,6.5,3.5,3,      4-2,0
7,Arsenal,Southampton,Home,3,1,2.8,0.6,Arsenal,Southampton,3,1,2.8,0.6,      3-1,Win,3,3,Win,3,0.20000000000000018,17,19,2.2,-2,12.8,7.1,5.700000000000001,3,      3-1,0
8,Arsenal,Bournemouth,Away,0,2,0.7,1.8,Bournemouth,Arsenal,2,0,1.8,0.7,      2-0,Loss,0,1,Loss,0,-0.7,17,19,1.5,-2,13.5,8.9,4.6,3,      2-1,0
9,Arsenal,Liverpool,Home,2,2,0.9,0.8,Arsenal,Liverpool,2,2,0.9,0.8,      2-2,Draw,1,2,Draw,1,1.1,18,20,2.6,-2,14.4,9.7,4.700000000000001,3,      2-2,0
10,Arsenal,Newcastle Utd,Away,0,1,1.1,0.5,Newcastle Utd,Arsenal,1,0,0.5,1.1,      1-0,Loss,0,1,Draw,1,-1.1,18,21,1.5,-3,15.5,10.2,5.300000000000001,5,      1-1,1
11,Arsenal,Chelsea,Away,1,1,1.5,1.5,Chelsea,Arsenal,1,1,1.5,1.5,      1-1,Draw,1,2,Win,3,-0.5,19,24,1,-5,17,11.7,5.300000000000001,4,      1-2,1
12,Arsenal,Forest,Home,3,0,1.2,0.3,Arsenal,Forest,3,0,1.2,0.3,      3-0,Win,3,3,Win,3,1.8,22,27,2.8,-5,18.2,12,6.199999999999999,4,      3-0,0
13,Arsenal,West Ham,Away,5,2,3.5,1.5,West Ham,Arsenal,2,5,1.5,3.5,      2-5,Win,3,5,Win,3,1.5,25,30,4.3,-5,21.7,13.5,8.2,2,      2-5,0
14,Arsenal,Manchester Utd,Home,2,0,2.1,0.2,Arsenal,Manchester Utd,2,0,2.1,0.2,      2-0,Win,3,2,Win,3,-0.1,28,33,4.2,-5,23.8,13.700000000000001,10.1,3,      2-0,0
15,Arsenal,Fulham,Away,1,1,1.8,0.2,Fulham,Arsenal,1,1,0.2,1.8,      1-1,Draw,1,2,Win,3,-0.8,29,36,3.4,-7,25.6,13.9,11.700000000000001,3,      1-2,1
16,Arsenal,Everton,Home,0,0,1.2,0.1,Arsenal,Everton,0,0,1.2,0.1,      0-0,Draw,1,1,Win,3,-1.2,30,39,2.2,-9,26.8,14,12.8,3,      1-0,1
17,Arsenal,Crystal Palace,Away,5,1,2.5,1.6,Crystal Palace,Arsenal,1,5,1.6,2.5,      1-5,Win,3,5,Win,3,2.5,33,42,4.7,-9,29.3,15.6,13.700000000000001,3,      1-5,0
18,Arsenal,Ipswich Town,Home,1,0,1.8,0.2,Arsenal,Ipswich Town,1,0,1.8,0.2,      1-0,Win,3,2,Win,3,-0.8,36,45,3.9000000000000004,-9,31.1,15.8,15.3,2,      2-0,0
19,Arsenal,Brentford,Away,3,1,1.9,0.3,Brentford,Arsenal,1,3,0.3,1.9,      1-3,Win,3,3,Win,3,1.1,39,48,5,-9,33,16.1,16.9,2,      1-3,0
20,Arsenal,Brighton,Away,1,1,0.9,1.5,Brighton,Arsenal,1,1,1.5,0.9,      1-1,Draw,1,1,Draw,1,0.1,40,49,5.1000000000000005,-9,33.9,17.6,16.299999999999997,2,      1-1,0
21,Arsenal,Tottenham,Home,2,1,1.4,0.8,Arsenal,Tottenham,2,1,1.4,0.8,      2-1,Win,3,2,Win,3,0.6000000000000001,43,52,5.7,-9,35.3,18.4,16.9,2,      2-1,0
22,Arsenal,Aston Villa,Home,2,2,1.3,1,Arsenal,Aston Villa,2,2,1.3,1,      2-2,Draw,1,2,Draw,1,0.7,44,53,6.4,-9,36.6,19.4,17.200000000000003,2,      2-2,0
23,Arsenal,Wolves,Away,1,0,1,0.7,Wolves,Arsenal,0,1,0.7,1,      0-1,Win,3,1,Win,3,0,47,56,6.4,-9,37.6,20.1,17.5,2,      0-1,0
24,Arsenal,Manchester City,Home,5,1,1,0.8,Arsenal,Manchester City,5,1,1,0.8,      5-1,Win,3,5,Win,3,4,50,59,10.4,-9,38.6,20.9,17.700000000000003,2,      5-1,0
25,Arsenal,Leicester City,Away,2,0,1.4,0.2,Leicester City,Arsenal,0,2,0.2,1.4,      0-2,Win,3,2,Win,3,0.6000000000000001,53,62,11,-9,40,21.1,18.9,2,      0-2,0
26,Arsenal,West Ham,Home,0,1,1.2,1.1,Arsenal,West Ham,0,1,1.2,1.1,      0-1,Loss,0,1,Draw,1,-1.2,53,63,9.8,-10,41.2,22.2,19.000000000000004,2,      1-1,1
27,Arsenal,Forest,Away,0,0,1,0.4,Forest,Arsenal,0,0,0.4,1,      0-0,Draw,1,1,Win,3,-1,54,66,8.8,-12,42.2,22.6,19.6,2,      0-1,1
28,Arsenal,Manchester Utd,Away,1,1,1.6,1.5,Manchester Utd,Arsenal,1,1,1.5,1.6,      1-1,Draw,1,2,Win,3,-0.6,55,69,8.200000000000001,-14,43.8,24.1,19.699999999999996,2,      1-2,1
29,Arsenal,Chelsea,Home,1,0,0.7,0.4,Arsenal,Chelsea,1,0,0.7,0.4,      1-0,Win,3,1,Win,3,0.30000000000000004,58,72,8.5,-14,44.5,24.5,20,2,      1-0,0
30,Arsenal,Fulham,Home,2,1,2.2,1,Arsenal,Fulham,2,1,2.2,1,      2-1,Win,3,2,Win,3,-0.2,61,75,8.3,-14,46.7,25.5,21.200000000000003,2,      2-1,0
31,Arsenal,Everton,Away,1,1,1.8,1.1,Everton,Arsenal,1,1,1.1,1.8,      1-1,Draw,1,2,Win,3,-0.8,62,78,7.5,-16,48.5,26.6,21.9,2,      1-2,1
